# by sat-benchmark.hs 0.8.11 @ 2016-04-01T15:24:36+09:00
# # designate: 270280 2015-12-01T10:24 /home/narazaki/Nash/bin/minisat-1.14
# parameters: '' and timeout: 1500 sec.
solver, num, target, time
"minisat-1.14", 73, "SR15m/manthey_single-ordered-initialized-w20-b7.cnf",  0.11
"minisat-1.14", 74, "SR15m/manthey_single-ordered-initialized-w20-b8.cnf",  0.10
"minisat-1.14", 75, "SR15m/manthey_single-ordered-initialized-w22-b6.cnf",  0.31
"minisat-1.14", 76, "SR15m/manthey_single-ordered-initialized-w22-b8.cnf",  0.20
"minisat-1.14", 77, "SR15m/manthey_single-ordered-initialized-w24-b7.cnf",  0.67
"minisat-1.14", 78, "SR15m/manthey_single-ordered-initialized-w24-b9.cnf",  0.50
"minisat-1.14", 79, "SR15m/manthey_single-ordered-initialized-w26-b7.cnf",  1.27
"minisat-1.14", 80, "SR15m/manthey_single-ordered-initialized-w26-b8.cnf",  1.15
"minisat-1.14", 81, "SR15m/manthey_single-ordered-initialized-w28-b8.cnf",  2.80
"minisat-1.14", 82, "SR15m/manthey_single-ordered-initialized-w32-b9.cnf",  16.94
"minisat-1.14", 83, "SR15m/manthey_single-ordered-initialized-w40-b10.cnf",  127.24
"minisat-1.14", 84, "SR15m/manthey_single-ordered-initialized-w40-b8.cnf",  150.46
"minisat-1.14", 85, "SR15m/manthey_single-ordered-initialized-w42-b8.cnf",  549.56
"minisat-1.14", 86, "SR15m/manthey_single-ordered-initialized-w42-b9.cnf",  617.65
"minisat-1.14", 87, "SR15m/manthey_single-ordered-initialized-w44-b6.cnf",  204.46
"minisat-1.14", 88, "SR15m/manthey_single-ordered-initialized-w44-b7.cnf",  856.46
"minisat-1.14", 89, "SR15m/manthey_single-ordered-initialized-w44-b9.cnf",  971.30
"minisat-1.14", 90, "SR15m/manthey_single-ordered-initialized-w46-b7.cnf",  1153.97
"minisat-1.14", 91, "SR15m/manthey_single-ordered-initialized-w48-b6.cnf",  851.40
"minisat-1.14", 92, "SR15m/manthey_single-ordered-initialized-w48-b8.cnf",  212.73
"minisat-1.14", 93, "SR15m/manthey_single-ordered-initialized-w50-b6.cnf",  1499.76
"minisat-1.14", 94, "SR15m/manthey_single-ordered-initialized-w54-b9.cnf",  1499.56
"minisat-1.14", 95, "SR15m/minxorminand064.cnf",  206.68
"minisat-1.14", 96, "SR15m/mrpp_4x4-10_20.cnf",  1499.90
"minisat-1.14", 97, "SR15m/mrpp_4x4-10_9.cnf",  3.42
"minisat-1.14", 98, "SR15m/mrpp_4x4-12_12.cnf",  1499.93
"minisat-1.14", 99, "SR15m/mrpp_4x4-4_24.cnf",  0.26
"minisat-1.14", 100, "SR15m/mrpp_4x4-4_4.cnf",  0.00
"minisat-1.14", 101, "SR15m/mrpp_4x4-4_5.cnf",  0.00
"minisat-1.14", 102, "SR15m/mrpp_4x4-6_16.cnf",  0.13
"minisat-1.14", 103, "SR15m/mrpp_4x4-6_20.cnf",  0.33
"minisat-1.14", 104, "SR15m/mrpp_4x4-6_5.cnf",  0.02
"minisat-1.14", 105, "SR15m/mrpp_4x4-8_8.cnf",  0.29
"minisat-1.14", 106, "SR15m/mrpp_6x6-10_10.cnf",  1.31
"minisat-1.14", 107, "SR15m/mrpp_6x6-10_8.cnf",  0.30
"minisat-1.14", 108, "SR15m/mrpp_6x6-12_16.cnf",  136.85
"minisat-1.14", 109, "SR15m/mrpp_6x6-12_8.cnf",  0.02
"minisat-1.14", 110, "SR15m/mrpp_6x6-14_24.cnf",  1499.62
"minisat-1.14", 111, "SR15m/mrpp_6x6-16_12.cnf",  175.08
"minisat-1.14", 112, "SR15m/mrpp_6x6-16_9.cnf",  3.82
"minisat-1.14", 113, "SR15m/mrpp_6x6-18_12.cnf",  973.95
"minisat-1.14", 114, "SR15m/mrpp_6x6-18_9.cnf",  36.82
"minisat-1.14", 115, "SR15m/mrpp_6x6-20_10.cnf",  1499.85
"minisat-1.14", 116, "SR15m/mrpp_8x8-12_9.cnf",  0.03
"minisat-1.14", 117, "SR15m/mrpp_8x8-16_12.cnf",  119.31
"minisat-1.14", 118, "SR15m/mrpp_8x8-18_12.cnf",  19.34
"minisat-1.14", 119, "SR15m/mrpp_8x8-18_13.cnf",  381.41
"minisat-1.14", 120, "SR15m/mrpp_8x8-22_10.cnf",  0.32
"minisat-1.14", 121, "SR15m/mrpp_8x8-22_11.cnf",  388.88
"minisat-1.14", 122, "SR15m/mrpp_8x8-24_11.cnf",  6.50
"minisat-1.14", 123, "SR15m/mrpp_8x8-24_14.cnf",  1499.71
"minisat-1.14", 124, "SR15m/mrpp_8x8-24_16.cnf",  1499.72
"minisat-1.14", 125, "SR15m/mrpp_8x8-8_9.cnf",  0.03
"minisat-1.14", 126, "SR15m/openstacks-p30_3.085-SAT.cnf",  41.62
"minisat-1.14", 127, "SR15m/partial-5-15-s.cnf",  1497.58
"minisat-1.14", 128, "SR15m/q_query_3_L150_coli.sat.cnf",  235.11
"minisat-1.14", 129, "SR15m/q_query_3_L200_coli.sat.cnf",  831.48
"minisat-1.14", 130, "SR15m/q_query_3_L80_coli.sat.cnf",  382.40
"minisat-1.14", 131, "SR15m/vmpc_29.cnf",  294.00
# finished at 2016-04-02T03:59:09+09:00
